Graphe,Algorithme,Durée (ns),Durée (ms),Durée (s),Résultats Identiques
Graphe11,Bellman-Ford,864916,0.864916,8.64916E-4,Oui
Graphe11,Dijkstra,217041,0.217041,2.17041E-4,Oui
Graphe105,Bellman-Ford,22659125,22.659125,0.022659125,Oui
Graphe105,Dijkstra,1790875,1.790875,0.001790875,Oui
Graphe305,Bellman-Ford,370945042,370.945042,0.370945042,Oui
Graphe305,Dijkstra,10049167,10.049167,0.010049167,Oui
Graphe405,Bellman-Ford,954112542,954.112542,0.954112542,Oui
Graphe405,Dijkstra,7838208,7.838208,0.007838208,Oui
Graphe505,Bellman-Ford,1907618375,1907.618375,1.907618375,Oui
Graphe505,Dijkstra,9978916,9.978916,0.009978916,Oui
Graphe605,Bellman-Ford,3402177833,3402.177833,3.402177833,Oui
Graphe605,Dijkstra,13012750,13.01275,0.01301275,Oui
Graphe705,Bellman-Ford,5668572417,5668.572417,5.668572417,Oui
Graphe705,Dijkstra,17938583,17.938583,0.017938583,Oui
Graphe805,Bellman-Ford,9382642583,9382.642583,9.382642583,Oui
Graphe805,Dijkstra,18728042,18.728042,0.018728042,Oui
Graphe905,Bellman-Ford,13615835750,13615.83575,13.61583575,Oui
Graphe905,Dijkstra,28253417,28.253417,0.028253417,Oui
